Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1840;privé;érvip;˽ ˽ ˽ ˽ ˽;5;frustré;dépourvu;dénué;déshérité;personnel;Particulier, sans caractère public.;"Qui est relatif à un simple particulier ; opposé à public, en parlant d’une chose.";Qui concerne la vie privée.
1841;banc;cabn;˽ ˽ ˽ ˽;4;haut-fond;récif;gisement;couche;assise;(Mobilier) Long siège permettant d’accueillir plus d’une personne.;(Marine) Amas de sable, de vase, de glace ou de certaines espèces de calcaires qui forment les écueils.;(Pêche) Grande quantité de poissons de la même espèce voyageant ensemble.
1842;poker;orpke;˽ ˽ ˽ ˽ ˽;5;zanzi;bluff;;;;(Cartes à jouer) Sorte de jeu de cartes où chaque joueur doit former la meilleure combinaison de cinq cartes possible, selon la hiérarchie des mains de poker.;Se signaler à un autre membre de Facebook, sans lui envoyer de message particulier.;
1843;rencard;nrcrdea;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;rambot;rambour;rancart;rendez-vous;renseignement;(Argot) Renseignement confidentiel.;(Familier) Rendez-vous.;
1844;steak;eakst;˽ ˽ ˽ ˽ ˽;5;carbonade;chateaubriand;bifteck;grillade;;(Anglicisme) Bifteck, tranche de viande ou de chair de poisson.;(Anglicisme) (Familier) Ampoule ou arrachement de la peau de la paume, à la base des doigts, provoqués par la pratique de certaines activités sportives, notamment les agrès de barres en gymnastique artistique.;
1847;vase;vesa;˽ ˽ ˽ ˽;4;pot;récipient;bourbe;hanap;limon;Bourbe, limon qui se dépose au fond de la mer, des fleuves, des étangs, etc.;Récipient pour contenir un fluide ou une substance granuleuse.;(En particulier) Récipient de forme allongée, posé debout, utilisé pour contenir un liquide, des cendres, ou pour décorer.
1848;karma;arkam;˽ ˽ ˽ ˽ ˽;5;destin;;;;;(Bouddhisme) (Hindouisme) (Religion sikhisme) (Religion jaïnisme) Dans plusieurs religions orientales, cycle des causes et des conséquences lié à l’existence des êtres sensibles.;(Religion bouddhique) Karma.;An (pour l’âge).
1849;débat;tbdaé;˽ ˽ ˽ ˽ ˽;5;discussion;conférence;controverse;délibération;pourparler;Action de débattre.;(Par extension) Contestation, altercation.;Troisième personne du singulier de l’indicatif présent de débattre.
1850;crochet;ohccret;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;croc;crampon;boucle;agrafe;fermoir;Petit morceau de métal recourbé servant à accrocher ou attacher quelque chose.;(Par analogie) Forte courbure d’un objet de cette forme.;Genre d’aiguille à l’extrémité en forme de crochet, permettant de réaliser des vêtements à partir de fil, généralement de laine ou de coton.
1851;remords;rsmorde;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;regret;résipiscence;repentir;contrition;attrition;Reproche, tourment, regret sincère provoqué par la conscience d’avoir mal agi.;Première personne du singulier de l’indicatif présent de remordre.;Deuxième personne du singulier de l’indicatif présent de remordre.
1852;simple;imlsep;˽ ˽ ˽  ˽ ˽ ˽;6;naïf;facile;franc;naturel;fruste;Qui n’est pas composé.;Qui n’est pas compliqué.;Qui n’est pas multiple.
1853;thèse;tsehè;˽ ˽ ˽ ˽ ˽;5;doctorat;idées;assertion;doctrine;allégation;Position intellectuelle, point de vue, avis.;(En particulier) (Histoire) Toute proposition, soit de philosophie, soit de lettres, soit de théologie, soit de droit, soit de médecine, qu’on soutenait publiquement dans les écoles, dans les universités.;(Aujourd’hui) Ensemble de propositions, point de doctrine largement développé par écrit ou étude détaillée et systématique que l’on présente à un jury et dont on soutient les conclusions, pour obtenir certains grades universitaires.
1854;écrit;étirc;˽ ˽ ˽ ˽ ˽;5;manuscrit;publication;papier;ouvrage;livre;"Recouvert de signes graphiques, se dit spécialement d’un papier, d’un parchemin, etc., sur lequel on a écrit ; antonymes : blanc, vierge.";"Inscrit, marqué, enregistré au moyen de l’écriture ; antonyme : oral.";"(Droit) Qui a une valeur juridique fondée sur la jurisprudence, un code, etc. ; antonyme : coutumier."
1855;maths;mhsat;˽ ˽ ˽ ˽ ˽;5;;;;;;(Familier) Mathématiques.;;
1857;obstacle;aescltob;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;traverse;empêchement;difficulté;embarras;tirage;Ce qui empêche de passer.;(Sport) Sorte de barrière que l'on installe sur le parcours de certaines courses.;(Figuré) Ce qui empêche qu’une personne n’arrive à son but, ne parvienne à ses fins ou qu’une chose ne se fasse, ne réussisse.
1858;briquet;ruqetbi;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;allume-gaz;allumoir;fusil;épée;feu;(Vieilli) Petite pièce d’acier dont on se servait pour tirer du feu d’un caillou.;(Par extension) Quelqu’un des divers appareils au moyen desquels on obtient du feu.;(Belgique) (Nord de la France) (Désuet) Collation que l’on emportait pour aller travailler.
1862;proie;poeri;˽ ˽ ˽ ˽ ˽;5;jouet;cible;dépouille;capture;pâture;Ce que les animaux carnassiers ravissent pour le manger.;Butin fait à la guerre, et généralement, toute chose dont on s’empare avec violence, avec une sorte de rapacité.;(Figuré) Personne qui a beaucoup à souffrir des passions des autres ou de sa propre passion.
1863;ivrogne;ngoierv;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;biberon;soiffard;buveur;cuitard;pochard;Qui s'adonne à la consommation outrancière de boissons alcoolisées.;Personne qui s’enivre régulièrement ou qui boit avec excès.;(Botanique) Silène dioïque (Silene dioica).
